Domain,Problem,Experiment Name,Total Landmarks,Individual LMs,Disjunctions,Overall,Unary Methods,Unary Action,Overall Action,Overall Method
Freecell-Learned-ECAI-16,probfreecell-03-3.hddl,lmc,11,2,9,1450,1,1,1336,114
Freecell-Learned-ECAI-16,probfreecell-03-3.hddl,lmc-BD,13,1,12,531,1,0,404,127
Freecell-Learned-ECAI-16,probfreecell-03-3.hddl,lmc-GZD,11,2,9,2592,1,1,2079,513
Freecell-Learned-ECAI-16,probfreecell-03-3.hddl,lmc-BDpGZD,13,1,12,856,1,0,804,52
Freecell-Learned-ECAI-16,probfreecell-03-3.hddl,lmc-VDM,11,1,10,1569,1,0,1452,117
Freecell-Learned-ECAI-16,probfreecell-07-1.hddl,lmc,13,1,12,4741,1,0,4676,65
Freecell-Learned-ECAI-16,probfreecell-07-1.hddl,lmc-BD,13,1,12,331,1,0,230,101
Freecell-Learned-ECAI-16,probfreecell-07-1.hddl,lmc-GZD,13,1,12,262,1,0,230,32
Freecell-Learned-ECAI-16,probfreecell-07-1.hddl,lmc-BDpGZD,13,1,12,262,1,0,230,32
Freecell-Learned-ECAI-16,probfreecell-07-1.hddl,lmc-VDM,13,1,12,4377,1,0,4312,65
Freecell-Learned-ECAI-16,probfreecell-10-3.hddl,lmc,13,1,12,5959,1,0,5910,49
Freecell-Learned-ECAI-16,probfreecell-10-3.hddl,lmc-BD,13,1,12,285,1,0,229,56
Freecell-Learned-ECAI-16,probfreecell-10-3.hddl,lmc-GZD,13,1,12,8316,1,0,8283,33
Freecell-Learned-ECAI-16,probfreecell-10-3.hddl,lmc-BDpGZD,13,1,12,261,1,0,229,32
Freecell-Learned-ECAI-16,probfreecell-10-3.hddl,lmc-VDM,13,1,12,4146,1,0,4085,61
Freecell-Learned-ECAI-16,probfreecell-05-3.hddl,lmc,12,1,11,3849,1,0,3714,135
Freecell-Learned-ECAI-16,probfreecell-05-3.hddl,lmc-BD,13,1,12,301,1,0,229,72
Freecell-Learned-ECAI-16,probfreecell-05-3.hddl,lmc-GZD,13,1,12,259,1,0,229,30
Freecell-Learned-ECAI-16,probfreecell-05-3.hddl,lmc-BDpGZD,13,1,12,259,1,0,229,30
Freecell-Learned-ECAI-16,probfreecell-05-3.hddl,lmc-VDM,12,1,11,4831,1,0,4537,294
Freecell-Learned-ECAI-16,probfreecell-05-2.hddl,lmc,12,2,10,4147,1,1,3911,236
Freecell-Learned-ECAI-16,probfreecell-05-2.hddl,lmc-BD,13,1,12,636,1,0,533,103
Freecell-Learned-ECAI-16,probfreecell-05-2.hddl,lmc-GZD,12,1,11,5705,1,0,5393,312
